Level,Category,Set,Exercise
Level 0,Easy,Set 1,Walking (15-20 mins)
Level 0,Easy,Set 1,Chair Yoga (15 mins)
Level 0,Easy,Set 1,Tai Chi (15 mins)
Level 0,Easy,Set 1,Seated Forward Bend Stretch (3 reps of 15 seconds)
Level 0,Easy,Set 2,Walking on a treadmill (15 mins)
Level 0,Easy,Set 2,Water Aerobics (15 mins)
Level 0,Easy,Set 2,Hamstring Stretch (3 reps of 15 seconds)
Level 0,Easy,Set 2,Standing Quad Stretch (3 reps of 15 seconds per leg)
Level 0,Easy,Set 3,Light Dancing (10 mins)
Level 0,Easy,Set 3,Yoga Stretching (10 mins)
Level 0,Easy,Set 3,Wrist Flexor Stretch (3 reps of 15 seconds per hand)
Level 0,Easy,Set 3,Child�s Pose (5 mins)
Level 0,Intermediate,Set 1,Brisk Walking (20 mins)
Level 0,Intermediate,Set 1,Dancing (15 mins)
Level 0,Intermediate,Set 1,Resistance Band Rows (3 sets of 10 reps)
Level 0,Intermediate,Set 1,Standing Quad Stretch (3 reps of 15 seconds per leg)
Level 0,Intermediate,Set 2,Cycling (15 mins)
Level 0,Intermediate,Set 2,Lunges (3 sets of 10 reps per leg)
Level 0,Intermediate,Set 2,Dumbbell Bicep Curls (3 sets of 10 reps)
Level 0,Intermediate,Set 2,Pigeon Pose (3 reps of 15 seconds per leg)
Level 0,Intermediate,Set 3,Step Aerobics (15 mins)
Level 0,Intermediate,Set 3,Rowing Machine (10 mins)
Level 0,Intermediate,Set 3,Glute Bridges (3 sets of 10 reps)
Level 0,Intermediate,Set 3,Butterfly Stretch (3 reps of 15 seconds)
Level 0,Difficult,Set 1,Jogging (10 mins)
Level 0,Difficult,Set 1,Elliptical Training (15 mins)
Level 0,Difficult,Set 1,Bodyweight Squats (3 sets of 10 reps)
Level 0,Difficult,Set 1,Plank Holds (3 sets of 20 seconds)
Level 0,Difficult,Set 2,Jump Rope (2 mins)
Level 0,Difficult,Set 2,Kettlebell Swings (3 sets of 10 reps)
Level 0,Difficult,Set 2,Push-ups (3 sets of 10 reps)
Level 0,Difficult,Set 2,Hip Flexor Stretch (3 reps of 15 seconds per leg)
Level 0,Difficult,Set 3,Mountain Climbers (1 min)
Level 0,Difficult,Set 3,Medicine Ball Slams (3 sets of 10 reps)
Level 0,Difficult,Set 3,Dumbbell Side Lateral Raises (3 sets of 10 reps)
Level 0,Difficult,Set 3,Glute Stretch (3 reps of 15 seconds per leg)
Level 1,Easy,Set 1,Walking (20 mins)
Level 1,Easy,Set 1,Sun Salutations (3 rounds)
Level 1,Easy,Set 1,Child�s Pose (5 mins)
Level 1,Easy,Set 1,Hamstring Stretch (3 reps of 15 seconds)
Level 1,Easy,Set 2,Walking on a treadmill (20 mins)
Level 1,Easy,Set 2,Chair Yoga (20 mins)
Level 1,Easy,Set 2,Seated Forward Bend Stretch (3 reps of 15 seconds)
Level 1,Easy,Set 2,Wrist Flexor Stretch (3 reps of 15 seconds per hand)
Level 1,Easy,Set 3,Light Cycling (15 mins)
Level 1,Easy,Set 3,Yoga Stretching (15 mins)
Level 1,Easy,Set 3,Standing Quad Stretch (3 reps of 15 seconds per leg)
Level 1,Easy,Set 3,Cat-Cow Pose (5 mins)
Level 1,Intermediate,Set 1,Cycling (15 mins)
Level 1,Intermediate,Set 1,Push-ups (3 sets of 8 reps)
Level 1,Intermediate,Set 1,Lunges (3 sets of 10 reps per leg)
Level 1,Intermediate,Set 1,Butterfly Stretch (3 reps of 15 seconds)
Level 1,Intermediate,Set 2,Brisk Walking (25 mins)
Level 1,Intermediate,Set 2,Rowing Machine (15 mins)
Level 1,Intermediate,Set 2,Resistance Band Rows (3 sets of 12 reps)
Level 1,Intermediate,Set 2,Pigeon Pose (3 reps of 15 seconds per leg)
Level 1,Intermediate,Set 3,Elliptical Training (15 mins)
Level 1,Intermediate,Set 3,Dumbbell Bicep Curls (3 sets of 10 reps)
Level 1,Intermediate,Set 3,Leg Press Machine (3 sets of 8 reps)
Level 1,Intermediate,Set 3,Hip Flexor Stretch (3 reps of 15 seconds per leg)
Level 1,Difficult,Set 1,Swimming (20 mins)
Level 1,Difficult,Set 1,Dumbbell Deadlifts (3 sets of 8 reps)
Level 1,Difficult,Set 1,Kettlebell Swings (3 sets of 10 reps)
Level 1,Difficult,Set 1,Mountain Climbers (30 seconds)
Level 1,Difficult,Set 2,Hiking (25 mins)
Level 1,Difficult,Set 2,Bench Press (3 sets of 10 reps)
Level 1,Difficult,Set 2,Medicine Ball Slams (3 sets of 10 reps)
Level 1,Difficult,Set 2,Plank Holds (3 sets of 30 seconds)
Level 1,Difficult,Set 3,Burpees (3 sets of 5 reps)
Level 1,Difficult,Set 3,"Jump Rope (1 min intervals, 3 sets)"
Level 1,Difficult,Set 3,Dumbbell Side Lateral Raises (3 sets of 10 reps)
Level 1,Difficult,Set 3,Glute Stretch (3 reps of 15 seconds per leg)
Level 2,Easy,Set 1,Walking (25 mins)
Level 2,Easy,Set 1,Chair Yoga (20 mins)
Level 2,Easy,Set 1,Standing Calf Raises (3 sets of 10 reps)
Level 2,Easy,Set 1,Glute Stretch (3 reps of 15 seconds per leg)
Level 2,Easy,Set 2,Water Aerobics (20 mins)
Level 2,Easy,Set 2,Tai Chi (15 mins)
Level 2,Easy,Set 2,Child�s Pose (5 mins)
Level 2,Easy,Set 2,Hamstring Stretch (3 reps of 15 seconds)
Level 2,Easy,Set 3,Yoga Stretching (15 mins)
Level 2,Easy,Set 3,Walking on a treadmill (20 mins)
Level 2,Easy,Set 3,Seated Forward Bend Stretch (3 reps of 15 seconds)
Level 2,Easy,Set 3,Wrist Flexor Stretch (3 reps of 15 seconds per hand)
Level 2,Intermediate,Set 1,Brisk Walking (30 mins)
Level 2,Intermediate,Set 1,Rowing Machine (15 mins)
Level 2,Intermediate,Set 1,Dumbbell Bicep Curls (3 sets of 10 reps)
Level 2,Intermediate,Set 1,Pigeon Pose (3 reps of 15 seconds per leg)
Level 2,Intermediate,Set 2,Cycling (20 mins)
Level 2,Intermediate,Set 2,Lunges (3 sets of 10 reps per leg)
Level 2,Intermediate,Set 2,Resistance Band Rows (3 sets of 12 reps)
Level 2,Intermediate,Set 2,Butterfly Stretch (3 reps of 15 seconds)
Level 2,Intermediate,Set 3,Elliptical Training (20 mins)
Level 2,Intermediate,Set 3,Dumbbell Deadlifts (3 sets of 10 reps)
Level 2,Intermediate,Set 3,Leg Press Machine (3 sets of 10 reps)
Level 2,Intermediate,Set 3,Hip Flexor Stretch (3 reps of 15 seconds per leg)
Level 2,Difficult,Set 1,Hiking (30 mins)
Level 2,Difficult,Set 1,Dumbbell Side Lateral Raises (3 sets of 10 reps)
Level 2,Difficult,Set 1,Bench Press (3 sets of 10 reps)
Level 2,Difficult,Set 1,Plank Holds (3 sets of 30 seconds)
Level 2,Difficult,Set 2,"Jump Rope (1 min intervals, 3 sets)"
Level 2,Difficult,Set 2,Burpees (3 sets of 5 reps)
Level 2,Difficult,Set 2,Kettlebell Goblet Squats (3 sets of 10 reps)
Level 2,Difficult,Set 2,Mountain Climbers (1 min)
Level 2,Difficult,Set 3,Swimming (30 mins)
Level 2,Difficult,Set 3,Push-ups (3 sets of 10 reps)
Level 2,Difficult,Set 3,Medicine Ball Slams (3 sets of 12 reps)
Level 2,Difficult,Set 3,Glute Bridges (3 sets of 12 reps)
Level 3,Easy,Set 1,Walking (30 mins)
Level 3,Easy,Set 1,Chair Yoga (30 mins)
Level 3,Easy,Set 1,Tai Chi (20 mins)
Level 3,Easy,Set 1,Cat-Cow Pose (5 mins)
Level 3,Easy,Set 2,Water Aerobics (30 mins)
Level 3,Easy,Set 2,Yoga Stretching (20 mins)
Level 3,Easy,Set 2,Seated Forward Bend Stretch (3 reps of 20 seconds)
Level 3,Easy,Set 2,Standing Quad Stretch (3 reps of 20 seconds per leg)
Level 3,Easy,Set 3,Walking on a treadmill (30 mins)
Level 3,Easy,Set 3,Hamstring Stretch (3 reps of 20 seconds)
Level 3,Easy,Set 3,Wrist Flexor Stretch (3 reps of 20 seconds per hand)
